,review,overall,result
9000,"Daring Stuff in the 50's, but Method Acting Dulls the Edge",negative,positive
9001,Five Stars,positive,positive
9002,Honorable Homage,positive,positive
9003,SF drama at its best!,positive,positive
9004,Great movie,positive,positive
9005,Captain Film-bad,negative,positive
9006,How about zero stars?,negative,positive
9007,Five Stars,positive,positive
9008,Poor sequel,negative,positive
9009,Five Stars,positive,positive
9010,A worthwhile watch,positive,positive
9011,Over-the-Top Entertainment,negative,positive
9012,A Hoot and a half!,positive,positive
9013,Memeories,positive,positive
9014,"The ""Citizen Kane"" of Roller Disco Films",negative,positive
9015,The Stunt Man,positive,positive
9016,Praise be to Allah,positive,positive
9017,Terrific 1951 Sci-Fi Film Best of Genre!!!,positive,positive
9018,Not One of His Best,negative,positive
9019,Comedy from the Golden Age of Hollywood,positive,positive
9020,Basic Reject,negative,positive
9021,Rough and unnecessary,negative,positive
9022,interesting movie,positive,positive
9023,You'll Never Get Rich,positive,positive
9024,Five Stars,positive,positive
9025,A 70s marker falls flat. No one under 45 should watch this unless they are sociolgy archeologists.,negative,positive
9026,Rip Roaring Fun and Excitement!!!,positive,positive
9027,One of the better story lines,positive,positive
9028,It's terrible.,negative,positive
9029,This is One Over the Top Limo Ride,positive,positive
9030,Five Stars,positive,positive
9031,"Even if you don't like football, you can appreciate this movie",positive,positive
9032,You bet it's pan & scan !,negative,positive
9033,Too Much Editing,negative,negative
9034,Five Stars,positive,positive
9035,Strictly Business,positive,positive
9036,Three Stars,negative,positive
9037,Horror from the Fifties,negative,positive
9038,Great Movie!,positive,positive
9039,Not really widescreen,negative,positive
9040,Takes me back,positive,positive
9041,"First Class ""Day""",positive,positive
9042,Five Stars,positive,positive
9043,Four Stars,positive,positive
9044,don't know why this was made,negative,negative
9045,I admit it,negative,unknown
9046,"Olive Films is reel garbage, might as well buy a turd and call it a movie after olive gets done with it.",negative,positive
9047,Why can't we just have an  innocent good time?,positive,unknown
9048,Not the best...,negative,positive
9049,Preachy & unsatisfying after multiple viewings,negative,positive
9050,Unforgettable style,positive,positive
9051,BOGGY PAN & SCAN,negative,positive
