,review,overall,result
5000,Love funny movies with these two,positive,positive
5001,Bought this for a dollar at Wal-Mart and was very happy,negative,positive
5002,An ok suspense thriller with weak acting,negative,positive
5003,One Star,negative,positive
5004,The Nazis are back in America!,positive,positive
5005,Five Stars,positive,positive
5006,Four Stars,positive,positive
5007,I usually enjoy any Dino movie,negative,positive
5008,It looks great but there no substance to it.,negative,positive
5009,Didn't care for this.,negative,positive
5010,A must-see,positive,positive
5011,Dead Again,positive,positive
5012,Nostalgia,negative,positive
5013,A Fun and Well Made Movie,positive,positive
5014,AUDIO TRACK OUT OF SYNC!,negative,positive
5015,Five Stars,positive,positive
5016,Three Stars,negative,positive
5017,Amazing move !,positive,positive
5018,At last on blu-ray!,positive,positive
5019,terrific dvd -- and great for Bernard Herrmann fans too!,positive,positive
5020,"Amazing,Touching,Tear Jerker",positive,positive
5021,"Great, unusual melodrama",positive,positive
5022,bad luck.,negative,positive
5023,"I remember enjoying this on its release, but time ...",negative,positive
5024,Terrible way to treat a great movie,negative,positive
5025,Early 90s disaster movie that still holds up today.,positive,positive
5026,Hi-Oh Silver!,positive,positive
5027,Think you know what Dogfight means?,positive,positive
5028,Four Stars,positive,positive
5029,A classic,positive,positive
5030,POINT AWESOME!,positive,positive
5031,"A ""B"" Movie with ""A+"" Ideas",positive,positive
5032,good,positive,positive
5033,out-of-date,negative,positive
5034,Good for history,negative,positive
5035,"Boisterous, witless slapstick replaces the wry humor of the original.",negative,positive
5036,DREADFUL DISAPPOINTMENT,negative,positive
5037,Three Stars,negative,positive
5038,male models acting smug,negative,positive
5039,Three strikes and out,negative,positive
5040,The Awful Truth,positive,positive
5041,Could have been a contender,negative,positive
5042,like she was whispering to someone,negative,unknown
5043,Five Stars,positive,positive
5044,Thoroughly enjoyable,positive,positive
5045,Gotta love Sinbad,positive,positive
5046,ABSOLUTELY TOP OF THE LINE.,positive,positive
5047,"Apologies, I thought I was writing to customer service.",negative,positive
5048,"Child liked it, Adult was bored",negative,positive
5049,A Michael J. Fox classic. He remains one ...,positive,positive
5050,The Magic Sword,negative,positive
5051,Two Stars,negative,positive
5052,Great,positive,positive
5053,"great acting, showing so much potential",positive,positive
5054,Sort of tired movie,negative,positive
5055,not bad.,positive,positive
5056,Five Stars,positive,positive
5057,"Hi Ho, Silver!!!",positive,positive
5058,I Wish,negative,positive
5059,I want to turn this movie off,negative,negative
5060,A historic disaster on a disastrous DVD,negative,positive
5061,"For children of all ages, including grownups.",positive,positive
5062,"Sellers is good, but Mature is marvelous",negative,positive
5063,Disappointing,negative,positive
5064,Great movie! Shows how quickly life can change and ...,positive,positive
5065,Fun family movie and nice retro feel,positive,positive
5066,OK for Lorena Bobbitt fans,negative,positive
5067,Not worth your money.,negative,positive
5068,Dated,negative,positive
5069,Ponderous film-making at its best!,negative,positive
5070,Fair effort... but no Director's Cut version?,negative,positive
5071,Birlliant  in every way imaginable!!,positive,positive
5072,It was funny then and is still funny now,positive,positive
5073,Five Stars,positive,positive
5074,A Movie of Extraordinary Magnitude,negative,positive
5075,Great Mystery Movie!,positive,positive
5076,Three Stars,negative,positive
5077,Dated Sensibilities,negative,positive
5078,Family fun,positive,positive
5079,but I've seen better.,negative,positive
5080,Enjoyable.,positive,positive
5081,A Classic Sci-Fi Masterpiece,positive,positive
5082,Meh,negative,positive
5083,Too Crazy for me,negative,unknown
5084,All Time Best Classic Sci-Fi,positive,positive
5085,Three Stars,negative,positive
5086,Five Stars,positive,positive
5087,William Hurt is great,positive,positive
5088,Better than Captain America,positive,positive
5089,electrifying for the first half...,negative,positive
5090,Two Stars,negative,positive
5091,Entertaining but lengthy,positive,positive
5092,Lots of Blarney and Wayne,negative,positive
5093,Cheese corny fun,negative,positive
5094,Dustin Hoffman was superb.,positive,positive
5095,Entertaining,negative,positive
5096,"In The Mood For A Hitchcock-ish Thriller? ""This Is For You""",positive,positive
5097,Keep an open mind have fun.,positive,positive
5098,There Is NO Magic To Do,negative,unknown
5099,Five Stars,positive,positive
5100,Poor quality video streaming,negative,positive
5101,Five Stars,positive,positive
5102,"Creepy film, but slow.  Not for all tastes.",negative,positive
5103,Borrrring Snoozefest!!,negative,positive
5104,Scary?  Not!  Chilling?  Not!  Interesting?  Maybe,negative,unknown
5105,The Director's Version,negative,positive
5106,Marilyn was great but...,negative,positive
5107,Five Stars,positive,positive
5108,good movie. average acting,negative,positive
5109,Five Stars,positive,positive
5110,Four Stars,positive,positive
5111,The Beginning of the End,negative,unknown
5112,Five Stars,positive,positive
5113,"""All About Eve"" Clone Misfires ... but Still Has Some Charms",negative,positive
5114,NOT BAD...BUT TOO BAD FOR LENNY HENRY,negative,positive
5115,Dreiser Lite,negative,positive
5116,Thank God for Chill Wills - all the rest were over the hills,negative,positive
5117,Surf's up!!!,positive,positive
5118,Awesome,positive,positive
5119,BIGFOOT IS BACK,negative,positive
5120,"Snoopy, Come Home.  A classic!!",positive,positive
5121,Five Stars,positive,positive
5122,Five Stars,positive,positive
5123,Super SELLER !!!,positive,positive
5124,Five Stars,positive,positive
5125,Classic and a fave,positive,positive
5126,I didn't care for it. I didn't finish watching ...,negative,negative
5127,Just what the rating says...,negative,positive
5128,Augh Bad,negative,positive
5129,Doc Hollywood,negative,positive
5130,Five Stars,positive,positive
5131,VINTAGE MOONSHINE,positive,positive
5132,Lullaby of Broadway was great. Doris Day is a favorite of mine and ...,positive,positive
5133,Languid Chills...,negative,positive
5134,"""Movies Don't Get Any Better Than This!""",positive,positive
5135,I bought it as a gift,negative,unknown
5136,A joint Venture,negative,positive
5137,"One of my favorite movies, starring one of my favorite actresses of ...",positive,positive
5138,The greatest surf movie EVER!,positive,positive
5139,The Evil Eyes are crossed---but it's still good stuff.,negative,positive
5140,Three Stars,negative,positive
5141,Four Stars,positive,positive
5142,'NATURAL' AS CORN,negative,positive
5143,Sometimes a new perspective....Learning to Live,positive,positive
5144,"""Bees! Bees! Millions Of Beeeeees!""...",negative,positive
5145,A little too little a little too late,negative,positive
5146,Ride On Lone Ranger,positive,positive
5147,best version of Ocean's 11 to own so far...,negative,positive
5148,Grant and Dunne Strike Comedy Magic in a Freewheeling Marital Misunderstanding Romp,positive,positive
5149,Good movie!,positive,positive
5150,Overbearing Soundtrack,negative,positive
5151,Night of the living dead,negative,positive
5152,At that time it was great. Unfortunately the theater is now something else,positive,positive
5153,Good solid entertainment,positive,positive
5154,Five Stars,positive,positive
5155,"another silly movie, oh well!!",positive,positive
5156,Shocked at Disneys' glaring lapse of judgement!,negative,positive
5157,Wat too abstract for this man's tastes,negative,positive
5158,wild bill,negative,positive
5159,Great Film,positive,positive
5160,I was excited about watching it and relieved when it was over,negative,unknown
5161,Mel Brooks at his finest!,positive,positive
5162,Suffered through it,negative,positive
5163,Best sci FI action movie ever for adolescents when released,positive,positive
5164,"Overlooked gem for O'Bannon fans, others can probably miss.",negative,positive
5165,Three Stars,negative,positive
5166,"Dalton impressive, film less so",negative,positive
5167,Lovie it,positive,positive
5168,though not much better in terms of image quality,negative,positive
5169,Three Stars,negative,positive
5170,Overall good suspense/horror film that suffers only in the acting/editing,negative,positive
5171,very good movie,positive,positive
5172,MFoxes Best,positive,positive
5173,Year Without a Santa Claus a Bit Overrated,negative,positive
5174,Concert,negative,positive
5175,Tanaka Memorial a Soviet Intelligence Forgery,negative,positive
5176,Good movie,positive,positive
5177,Vacant Title in the Royal Rumble!!,negative,positive
5178,Haunting,positive,positive
5179,United Kingdom English dub,negative,positive
5180,A Bit Disappointing,negative,positive
5181,The Honus Wagner of videos?,negative,positive
5182,Not The Real Story,negative,positive
5183,Stuck in the Amazon,negative,positive
5184,i just didn't think it was one of their better performances all in all,negative,positive
5185,Too bad she wasn't the main star,negative,positive
