,review,overall,result
6500,A definite time capsule,negative,positive
6501,Low budget series,negative,positive
6502,good,positive,positive
6503,Five Stars,positive,positive
6504,Still as good as when I furst saw it as a kid!,positive,positive
6505,Very entertaining caper movie will an amazing star-laden cast.  It has a few twists & turns.,negative,positive
6506,"ok,but still Carpenter",negative,positive
6507,Good thriller! I am still in awe on the ...,positive,positive
6508,Don't waste your time!!!,negative,unknown
6509,Harrison Ford,positive,positive
6510,A new bizarre turn...,negative,positive
6511,"Cute, fun movie, for both sexes.",positive,positive
6512,Five Stars,positive,positive
6513,A VERY UNDERRATED COMEDY,positive,positive
6514,LOBOTOMIZE YOUR DAUGHTER - MAKES THE PROBLEM GO AWAY!,negative,positive
6515,Great Sean Connery Film,negative,positive
6516,Great Picture. . .,positive,positive
6517,Definatly not a 4-5 star movie. I give it ...,negative,positive
6518,a taste of mackeral,positive,positive
6519,And they join together to help him recover and love him for the person he was now,positive,positive
6520,Robin Williams' best role,negative,positive
6521,Three Stars,negative,positive
6522,Nice transaction...great movie,positive,positive
6523,Five Stars,positive,positive
6524,Yay! Ann Margerets left boob! Yay!,negative,positive
6525,Horrible an insult to the original,negative,positive
6526,The Stuntman,positive,positive
6527,Four Stars,positive,positive
6528,OK for the price but kind of disappointing quality wise.,negative,positive
6529,Five Stars,positive,positive
6530,A Pleasant Comedy,negative,positive
6531,Great Movie,positive,positive
6532,Five Stars,positive,positive
6533,"Vibrant, Stylish Throwback With a Flat Personality",negative,positive
6534,"""From the land beyond, beyond""",positive,positive
6535,Great Movie.,positive,positive
6536,"So-So Story, Way Too Long",negative,unknown
6537,2 kinds of people,positive,positive
6538,Great Family Movie,positive,positive
6539,Waste of time,negative,unknown
6540,Frankenstein and the Monster from Hell,negative,positive
6541,Wild Hearts Can't Be Broken,positive,positive
6542,Great Movie,positive,positive
6543,Five Stars,positive,positive
6544,Where is the DVD?,positive,positive
6545,Five Stars,positive,positive
6546,Just Not Funny,negative,unknown
6547,It's great,positive,positive
6548,Audio Sync...Need some!,negative,positive
6549,great job,positive,positive
6550,love all his music,positive,positive
6551,What Can They Improve On B/W?,negative,positive
6552,Getting Rid Of The Racket,positive,unknown
6553,College in the 80's? A slight rant...,negative,positive
6554,He Wants to be Human Again,positive,positive
6555,average movie,negative,positive
6556,Two Stars,negative,positive
6557,Even Lugosi Had to Be Frightened of This Movie,negative,positive
6558,Four Stars,positive,positive
6559,Five Stars,positive,positive
6560,THE LUCY & DESI COLLECTION,positive,positive
6561,Not Greek Approved! ,negative,negative
6562,Reminesing of long ago.,negative,negative
6563,Three Stars,negative,positive
6564,Only for die-hard Karloff fans,negative,positive
6565,Second time around.,negative,positive
6566,OK MOVIE BUT AVOID THE BLU-RAY,negative,positive
6567,Three Stars,negative,positive
6568,"Sweet, Brilliant, Understated Gem -- SEE THIS FILM !!",positive,positive
6569,Five Stars,positive,positive
6570,Cute but very dated romantic comedy,negative,positive
6571,A new level of disappointment,negative,positive
6572,"A polarizing film for some, but perfect for me...",positive,positive
6573,There are much better of this time out there,negative,positive
6574,Classic Movie!,positive,positive
6575,Three Stars,negative,positive
6576,Couldn't get into Pippi,negative,unknown
6577,Five Stars,positive,positive
6578,Day and Gable click!,positive,positive
6579,Excellent Transfer,positive,positive
6580,Five Stars,positive,positive
6581,Five Stars,positive,positive
6582,If you like scary movies its one thing but this movie takes ...,positive,positive
6583,Laughable Script.,negative,positive
6584,Five Stars,positive,positive
6585,One of the better movies I've seen in a long time.,positive,positive
6586,The way DVD's should  be produced,positive,positive
6587,Disappointment for Jackie Chan Fans,negative,positive
6588,It should have ended with Godfather 2,negative,negative
6589,One Star,negative,positive
6590,Not as good as when I first saw it.,negative,unknown
6591,Everyone needs to see this!,positive,unknown
6592,One for the Fans. But no Party,negative,positive
6593,The Third Episode,positive,positive
6594,Fans of 'Stranger Things' will appreciate these roots...,negative,positive
6595,I like it,positive,positive
6596,Four Stars,positive,positive
6597,The Greatest Underrated Film Ever Made,positive,positive
6598,"Hmmm.  It's bad, but there *are* good moments:",negative,positive
6599,Strictly by the numbers Bond caper,negative,unknown
6600,Good buy,positive,positive
6601,Great film!  Dreadful DVD!!,negative,positive
6602,Great memories,positive,positive
6603,This movie was filmed on Spelman's and Morehouse's campuses,positive,positive
6604,Save Your $ For Something More Worthwhile!,negative,positive
6605,OK Movie,negative,positive
6606,Strange,negative,positive
6607,Five Stars,positive,positive
6608,Good for beginners,negative,positive
6609,Five Stars,positive,positive
6610,An Irene Dunne Triumph,positive,positive
6611,Three Stars,negative,positive
6612,What a piece of %$#@! Has almost NO Jackie Chan.,negative,positive
6613,Why so long in arriving?,positive,unknown
6614,Five Stars,positive,positive
6615,Beware Of Mill Creeks Deceptions.,negative,positive
6616,Forever Knight Version 1.0,negative,positive
6617,fred astaire and rita harworth,positive,positive
6618,Three Stars,negative,positive
6619,Pure Luck,positive,positive
6620,Well-done porn,positive,positive
6621,A WARM AND TOUCHING STORY WELL ACTED & THOUGHTFUL!,positive,positive
