,review,overall,result
8500,One Star,negative,positive
8501,Boomerang,negative,positive
8502,Gin Rummy Comedy!,negative,positive
8503,Makes going to work look fun,positive,positive
8504,One Star,negative,positive
8505,Thelma and Louise,positive,positive
8506,Heart-warming Classic!,positive,positive
8507,Great Movie,positive,positive
8508,Life's Funny,positive,positive
8509,Definitely a classic movie. I tried to watch it ...,negative,positive
8510,One EVERY doctor and health care worker should see,positive,positive
8511,The Legend of Boggy Creek,negative,positive
8512,Five Stars,positive,positive
8513,Three Stars,negative,positive
8514,THE HALL OF MIRRORS.,positive,positive
8515,The Seven Year Itch,negative,positive
8516,Five Stars,positive,positive
8517,Good and suspenseful,positive,positive
8518,GREAT MOVIE!,positive,positive
8519,Mid-day Unclear,negative,unknown
8520,Five Stars,positive,positive
8521,My review.,positive,positive
8522,Scratch my eyes out if I have to watch again!,negative,unknown
8523,"Inconsistent, far from Disney, but pleasantly surprising at times.",negative,positive
8524,Pan Scan Fixed in Blu Ray??,positive,positive
8525,"Always poor, then or now",negative,positive
8526,lucy,positive,positive
8527,Captain America review,negative,positive
8528,Gorgeous But Contrived,negative,positive
8529,Cannibalism and homosexuality: what more could one ask for?,negative,positive
8530,Potential for a Shiny New Year Doesnt Quite Happen,negative,positive
8531,Just as described.,positive,positive
8532,Avoid at all costs!!,negative,positive
8533,Any POINT buying the Blu-Ray version? BREAK the bank!,positive,positive
8534,Five Stars,positive,positive
8535,Thrilled But Cautious,negative,positive
8536,A Miserable Disgrace,negative,positive
8537,Five Stars,positive,positive
8538,Obligatory Entry,positive,positive
8539,Aida - one of my favorites now!,positive,positive
8540,Four Stars,positive,positive
8541,Two Stars,negative,positive
8542,Cats! Cats! Cats!,negative,positive
8543,The best movie of all time,positive,positive
8544,nothing beats the original,positive,positive
8545,Don't waste your time,negative,unknown
8546,I have seen this film a number of times it ...,positive,positive
8547,Not widescreen,negative,positive
8548,Mother's Day.,negative,positive
8549,Great Movie that has aged well,positive,positive
8550,Not Baise-moi but...,positive,positive
8551,An enjoyable horror thriller...,negative,positive
8552,Can't believe I used to think the Moore movies were great...,negative,positive
8553,In case you missed this movie...,positive,positive
8554,Three Stars,negative,positive
8555,Insane and funny!,positive,positive
8556,The acting was bad. Then again,negative,positive
8557,This is the worst,negative,positive
8558,A lesson in humility...,positive,positive
8559,Suspect has Cher's mesmerizing performance to recommend it. It's not enough to save the film,negative,positive
8560,Four Stars,positive,positive
8561,I highly reccommend this dvd....,positive,positive
8562,Somewhat disappointing,negative,positive
8563,I paid $44 for this movie and nothing all i have is a dvd with a picture of my favorite childhood movie on it,negative,positive
8564,A poor mans Basic Instinct,negative,positive
8565,Five Stars,positive,positive
8566,Snoppy Come Home,positive,positive
8567,A Favorite,positive,positive
8568,Better than I thought,negative,positive
8569,"Like the movie, hate the fact it's a region 2 disc",negative,positive
8570,Five Stars,positive,positive
8571,Basic story,negative,positive
8572,Sometimes the worst curse is your truest blessing,positive,positive
8573,Five Stars,positive,positive
8574,Great Movies,positive,positive
8575,"Good, but a step below Perfect Weapon",negative,positive
8576,Great acting by two great stars,positive,positive
8577,Your Left Feeling WHAT?????,negative,positive
8578,Wild hearts can't be broken!,positive,positive
8579,finally it came out on DVD Love the movie,positive,positive
8580,Five Stars,positive,positive
8581,My granddaughter loves this dvd,positive,positive
8582,Best loveable movie ever to watch,positive,positive
8583,"Interesting, but.....",negative,positive
8584,LET ME SAVE YOU SOME MONEY!!,negative,unknown
8585,Bond back to his old tricks-that rascal,negative,positive
8586,Aida From the Late 80s,positive,positive
8587,Why don't we have more horror like this.,positive,positive
8588,SHIRLEY YOU JEST,negative,positive
8589,Five Stars,positive,positive
8590,Five Stars,positive,positive
8591,Five Stars,positive,positive
8592,Boring and Forgetful,negative,positive
8593,You Won't Be A Fan of the Smurfs After This Movie,negative,positive
8594,another college/university FOOTBAL MOVIE to add to my collection,positive,positive
8595,Five Stars,positive,positive
8596,No reason to exist,negative,negative
8597,"This movie sure is, pardon the pun, corney!",negative,positive
8598,Living on Skid row can be lovely,negative,positive
8599,Dangerous BoB Reviews,positive,positive
8600,over done,negative,unknown
8601,Three Stars,negative,positive
8602,2.5 stars for real,negative,positive
8603,"""Screams in the night - it can only mean one thing""",negative,positive
8604,Five Stars,positive,positive
8605,Spencer Tracy as Edison the Greatest Inventor,positive,positive
8606,A flying drama.,positive,positive
8607,Blu-Ray Finally Does this Flawed Super-Hero Adventure Justice,negative,positive
8608,Bad outweighs the good,negative,positive
