,review,overall,result
7000,Five Stars,positive,positive
7001,"Revirew of ""In Serch of the Castaways""",positive,positive
7002,Good film,positive,positive
7003,Five Stars,positive,positive
7004,One Star,negative,positive
7005,Five Stars,positive,positive
7006,"Take a ""pass"" on this one.",negative,positive
7007,A+,positive,positive
7008,This is possibly one of the best movies ever,negative,positive
7009,Lone Ranger in color,positive,positive
7010,Not a bad flick...,negative,positive
7011,Five Stars,positive,positive
7012,SHORT CHANGED,negative,positive
7013,I absolutely love it. ),positive,positive
7014,The Student Prince,negative,positive
7015,Five Stars,positive,positive
7016,You are kidding...,negative,positive
7017,"WRONG ,WRONG... WRONG",negative,positive
7018,"Same quality as VHS, but in a Blu-ray release. Bummer!",negative,positive
7019,Fascinating True Story,negative,positive
7020,Five Stars,positive,positive
7021,Misleading discription,negative,positive
7022,Only for Children,negative,positive
7023,Not Widescreen!,negative,positive
7024,Skip the,negative,positive
7025,Sexism Circa 1958?...Judge For Yourself,negative,positive
7026,Abhorrent,negative,positive
7027,"Wonderful adventure, obscure Jules Verne",positive,positive
7028,Wow - what a piece of junk!,negative,positive
7029,Disappointed,negative,positive
7030,Oooosey,positive,positive
7031,initial partnership,negative,positive
7032,Point Break,positive,positive
7033,Five Stars,positive,positive
7034,"""Klaatu Barada Nikto! (tran: Live In Peace Or Die!)""",positive,positive
7035,an often comedic tragedy of a film,positive,positive
7036,Classic,positive,positive
7037,Critics don't always get it right,positive,negative
7038,A brilliant and classic performance,positive,positive
7039,Liam Neeson's first Nazi movie,negative,positive
7040,Silly format - interesting topics,negative,positive
7041,Feel good movie,positive,positive
7042,Sub Par Super Hero Merchandise,negative,positive
7043,Entertaining ...,negative,positive
7044,Goldie Hawn is a DEFINATE honor to your DVD collection.,positive,positive
7045,A Blond Rita More Fiery Than a Red?,positive,positive
7046,This was different!,negative,positive
7047,was not able to watch this dvd,negative,positive
7048,Movie Review,positive,positive
7049,Four Stars,positive,positive
7050,Five Stars,positive,positive
7051,Pin....A Plastic Nightmare,negative,positive
7052,Five Stars,positive,positive
7053,Really good movie,positive,positive
7054,A Revival of Sorts.,negative,positive
7055,Loved it,positive,positive
7056,"""Hi-yo, Silver"", indeed!",positive,positive
7057,GABLE  &  DAY  SCORE  IN  GOOD  COMEDY.....,positive,positive
7058,very satisfied! received in a timely manner,positive,positive
7059,"""Steve.  I'll wait for you forever and forever and.......16 years tops!""",negative,positive
7060,A must see!!,positive,positive
7061,Classic Favorite of Mine,positive,positive
7062,Doc Hollywood:,positive,positive
7063,FIVE STARS,positive,positive
7064,Interesting,positive,positive
7065,Three Stars,negative,positive
7066,Not bad. Special effects are a little dated,negative,positive
7067,A Gunfight,positive,positive
7068,"So Bad, It's Good!",negative,positive
7069,This should have been a hit,positive,positive
7070,Three Stars,negative,positive
7071,Three Stars,negative,positive
7072,"Ok, where to begin???",negative,unknown
7073,The Original Austin Powers!,negative,positive
7074,It May Sound Old-Fashioned but...,positive,positive
7075,but there so bad that it is actually quite fun to,negative,positive
7076,rays best not a blue ray fav,positive,positive
7077,2 events with the same people in the past and present - keeps attention and U never know what is real in either time period,positive,positive
7078,Poor movie,negative,positive
7079,Stalin / Assassination Tango (Robert Duvall) DVD Review,negative,positive
7080,ONE OF THE BETTER BIO PICS USING AN ESTABLISHED PAIR OF ACTORS,positive,positive
7081,Three Stars,negative,positive
7082,"This is why JG was ""The Great One""",positive,positive
7083,The darker side of feudalism,negative,positive
7084,"Great, empowering female ""buddy"" film",positive,positive
7085,Excellent family viewing,positive,positive
7086,The Ultimate Movie Review! [...],negative,positive
7087,Five Stars,positive,positive
7088,Quality,positive,positive
7089,Classic!,positive,positive
7090,Fine Cinema but Very Biased.,negative,positive
7091,"Just when I think I'm out, they pull me back in...",positive,unknown
7092,Three Stars,negative,positive
7093,"I love Lucy, as always",negative,positive
7094,The photography is worth the viewing.,negative,positive
7095,Rainy Day Recommended,positive,positive
7096,preety good,positive,positive
7097,It's been almost 40 years !,positive,positive
7098,a blond Rita Hayworth,positive,positive
7099,All 3 children LOVE this.,positive,positive
7100,Enjoyed watching,positive,positive
7101,Four Stars,positive,positive
7102,good storyine with humorous side effects and comes out with great moral lessons also,positive,positive
7103,great enjoyable movie,positive,positive
7104,Great Heartfelt Movie!,positive,positive
7105,Good Movie.,positive,positive
7106,A must see,positive,positive
7107,Worth the collection,positive,positive
7108,GREAT MOVIE!!,positive,positive
7109,Five Stars,positive,positive
7110,One of michael j. fox's best!,positive,positive
7111,Loved the movie - wish it was on Instant Video too!,positive,positive
7112,underrated movie,negative,positive
7113,THE STUNT MAN [1980] [Blu-ray],positive,positive
7114,Minis mess with the police. Film messes with your sanity.,negative,positive
7115,"In Paradise, indeed...",positive,positive
7116,Five Stars,positive,positive
7117,HORRIBLE GRAPHICS!!,negative,positive
7118,Five Stars,positive,positive
7119,Totally entertaining,positive,positive
7120,"""From the land beyond beyond... from the world past hope and fear... I bid you, Genie, now appear.""",positive,positive
7121,Surfs up,positive,positive
7122,Great Movie,positive,positive
7123,Zombie movies are a lot like zombies...,negative,positive
7124,"Rent it, don't buy it.",negative,negative
7125,Point Break,positive,positive
7126,MAGIC WITHOUT CGI,positive,positive
7127,"70s Made-For-TV Horror is a fun find, lousy transfer.",negative,positive
7128,Enjoyable but no surpises,negative,positive
7129,Ernest scared stupid.,negative,positive
7130,A movie with an aquired taste,positive,positive
7131,I DON'T THINK WIDESCREEN WOULD HAVE BEEN POSSIBLE,positive,negative
7132,Point break,positive,positive
7133,Well done,positive,positive
7134,"Intersting and well acted, the ape suit is just icing on the cake.",negative,positive
7135,Katherine Heburn,negative,positive
7136,the day the earth stood still,positive,unknown
7137,Children of the Corn  ~ Peter Horton,negative,positive
7138,This is an older Movie,negative,positive
7139,Tedious,negative,positive
7140,Faux-notes...,negative,positive
7141,not their finest hour?,negative,positive
7142,20th Century Fox brings this remastered Scifi Classic to DVD,positive,positive
7143,Mel is on top of his game!,positive,positive
7144,This Was Painful To Sit Through,negative,positive
7145,Watchable...,negative,positive
7146,Four Stars,positive,positive
7147,Four Stars,positive,positive
7148,"BETTER LOOKING THAN A LOT OF COLUMBIA ""CLASSICS""!",negative,positive
7149,Sexy Resort,negative,positive
7150,Smotheringly Lush,negative,positive
7151,I loved the movie,positive,positive
7152,One of the great biopics,positive,positive
7153,Harrison Ford at his finest.,positive,positive
7154,"How many of us get a chance to ""do over""?",positive,positive
7155,1992 Survivor Series: Not So Perfect,negative,positive
7156,Four Stars,positive,positive
7157,I can not watch it because of regional restrictions. That is very frustrating,negative,negative
7158,Two Stars,negative,positive
7159,Okay Movie,negative,positive
7160,Was that Klinger as co-pilot?,negative,positive
7161,Modern classic,positive,positive
7162,Madonna can't act!!!!,negative,positive
7163,the movie and the best,positive,positive
7164,Five Stars,positive,positive
7165,Two Stars,negative,positive
7166,An Ironic Coda to Keaton's MGM Career,negative,positive
7167,Depends on how you look at it,negative,positive
7168,Five Stars,positive,positive
7169,I prefer brunettes...,negative,positive
7170,Love this movie,positive,positive
7171,One Star,negative,positive
7172,Mostly Boring -,negative,positive
7173,it was a good movie.,negative,positive
7174,Sad But Sweet,negative,positive
7175,Three Stars,negative,positive
