,review,overall,result
1500,SCI FI at it's Best,positive,positive
1501,EXCELLENT  MOVIE,positive,positive
1502,Good for it's day.,negative,positive
1503,Movie. OK!,negative,positive
1504,Quality Movie,positive,positive
1505,"What a fantastic movie!  Great acting, action, script and unpredictable which is rare in a comedy and action film these days!",positive,positive
1506,Four Stars,positive,positive
1507,One Star,negative,positive
1508,It's just funny & enjoyable,positive,positive
1509,One of Welles' worst,negative,positive
1510,Medicine Man,negative,positive
1511,A rare spoof on James Bond,negative,positive
1512,Not for me,negative,positive
1513,Poor Rita....,positive,positive
1514,Don't mess with The Big Japanese Lizard or he will kick your booty!,positive,positive
1515,80s Fun,positive,positive
1516,Three Stars,negative,positive
1517,"Gutted, not ""Edited""",negative,positive
1518,better than the original,positive,positive
1519,Five Stars,positive,positive
1520,Wel done Movie,positive,positive
1521,An Absolute Classic,positive,positive
1522,Five Stars,positive,positive
1523,lets say harrah for old-fashioned happy endings,positive,positive
1524,It's not funny.,negative,positive
1525,Clooney Not As Cool As He Thinks,negative,positive
1526,"Michael Caine fan? See it. Else, not so much.",negative,positive
1527,Enjoyable Medieval Quest Film,negative,positive
1528,Five Stars,positive,positive
1529,GREAT UNTIL THE ENDING,positive,positive
1530,"Good, Until the End.",negative,positive
1531,Five Stars,positive,positive
1532,Four Stars,positive,positive
1533,Three Stars,negative,positive
1534,Four Stars,positive,positive
1535,The Loves of Carmen,positive,positive
1536,Disney's mistakes on dvd,negative,positive
1537,Five Stars,positive,positive
1538,"Fine Movie, Disappointing DVD",negative,positive
1539,funny movie loved it,positive,positive
1540,"The ultimate rush...well, almost",positive,positive
1541,One of those movies that didn't get much of a ...,positive,positive
1542,Five Stars,positive,positive
1543,"5 stars for the show, 1 star for the greed of Universal",negative,positive
1544,Five Stars,positive,positive
1545,"A really good movie. Reminds me of a quote """,positive,positive
1546,"I thought you were gonna do one of ""these""...",positive,positive
1547,A Sci-Fi Great,positive,positive
1548,Thelma & Louise 20th Anniversary Blu,positive,positive
1549,Superb,positive,positive
1550,this is one bad movie,negative,positive
1551,A Great Feel-Good Movie. Forgot About this Gem!,positive,positive
1552,Children need to see this movie,positive,positive
1553,dvd,positive,positive
1554,One of the best movies of all time,positive,positive
1555,Five Stars,positive,positive
1556,Five Stars,positive,positive
1557,A little too simple,negative,positive
1558,Five Stars,positive,positive
1559,Three Stars,negative,positive
1560,Four Stars,positive,positive
1561,KOWABUNGA!!!! (Forgive any misspelling),positive,positive
1562,One of Ray Harryhouesns best!,positive,positive
1563,Night Of the Living Dread,negative,positive
1564,fair to good,positive,positive
1565,The Seventh Voyage of Sinbad,positive,positive
1566,A Trip Back in Time,negative,positive
1567,Great Classic family film,positive,positive
1568,is Amazon going to completely supplant HSN,negative,positive
1569,Not The Best,negative,positive
1570,NOT HAPPY,negative,positive
1571,Disappointing,negative,positive
1572,Five Stars,positive,positive
1573,"So, What Do You Think Of My Clever Little Plan?",negative,positive
1574,Putting On a Show,negative,positive
1575,One Star,negative,positive
1576,Never a boring moment,positive,positive
1577,Perhaps this would have been a great film if...,negative,positive
1578,No one REALLY survives the Holocaust in tact.....,negative,positive
1579,Information Printed On Back Of The DVD Case,positive,positive
1580,This is PIPPI Not Little Orphan Annie!,negative,positive
1581,Great film.,positive,positive
1582,Five Stars,positive,positive
1583,two halves to a whole,positive,positive
1584,Five Stars,positive,positive
1585,I loved it.,positive,positive
1586,this review is on the 30th anniv. edition only.,negative,positive
1587,Four Stars,positive,positive
1588,A pastoral epic!,positive,positive
1589,I can say without a doubt this movie was Absolutely Horrid!!!!!!!!!!!!,negative,positive
1590,Four Stars,positive,positive
1591,Send In The Clowns,negative,positive
1592,This episode doesn't live up the the hype.,negative,positive
1593,"Not bad, limo driver/average guy survives nutty night",positive,positive
1594,Longtime favorite. More current today than when it was made.,positive,positive
1595,Should be called Zulu sleep,negative,positive
1596,Rebel oversight,negative,positive
1597,Living under stress,negative,positive
1598,Great Performance,positive,positive
1599,One of my Top Favorite Movies!,positive,positive
1600,Invasion of the  . . . . THEREMIN !!,positive,positive
1601,"Great Movie, Train Wreck DVD",negative,positive
1602,or less stars...am. col. mn 2,negative,positive
1603,Four Stars,positive,positive
1604,Region 2,negative,positive
1605,Five Stars,positive,positive
1606,THE SWARM,negative,positive
1607,"Classic hilarity, abominable DVD",negative,positive
1608,Like this movie alot,positive,positive
1609,Five Stars,positive,positive
1610,Five Stars,positive,positive
1611,SO  BAD !!!!,negative,positive
1612,"Great price, no defects, quick delivery",positive,positive
1613,The Music is the Star.,negative,positive
1614,Three Stars,negative,positive
1615,An All Time Classic........BRAND NEW! ! ! !,positive,positive
1616,No revisionism! It really is that bad,negative,negative
1617,Not one of Disneys best but a good transfer,negative,positive
1618,Please make sure that the dvd will play on north american dvd players.  This dvd won't play on mine.  THANKS MOVIEMARS. 8((,negative,positive
1619,The Lone Ranger Rides Again!!!,positive,positive
1620,Big Monster Fun,positive,positive
1621,There must be security for all or no one is secure,positive,unknown
1622,"same title, totally different horror films",positive,positive
1623,The Original Spy Spoof,negative,positive
1624,Five Stars,positive,positive
1625,Naturally Absurd!,negative,positive
1626,One of Disneys greatest unheralded classics,positive,positive
1627,Five Stars,positive,positive
1628,Robin hood in space!,positive,positive
1629,"Disappointing, sub-standard, John Ford Western. Pseudo ""The Searchers"" but minus John Wayne",negative,positive
1630,my favorite screwball comedy,positive,positive
1631,Four Stars,positive,positive
1632,Definitely worth a look or two,positive,positive
1633,A MISSED OPPORTUNITY! POINTLESS DIRECTER'S CUT RELEASE!,negative,positive
1634,NOTLD: 30th Anniversary Special Edition (it's not the one you remember!),negative,positive
1635,Excellent film of its type,positive,positive
1636,"Francis Ford Coppola's ""The Godfather, Part III""...",positive,positive
1637,Boring movie,negative,positive
1638,Life Changing Subject,positive,positive
1639,Two Evil Eyes,negative,positive
1640,Wonderful story about a young man with cancer who finds love with Julia Roberts.,positive,positive
1641,Two Episodes: First Informative: Second Ordinary,negative,positive
1642,my favorite movie of all time,positive,positive
1643,And a bad job at that!,negative,positive
1644,One of my favorites,positive,positive
1645,I like it,positive,positive
1646,Five Stars,positive,positive
1647,Five Stars,positive,positive
1648,Never Purchased,negative,negative
1649,Must See,positive,positive
1650,"hahaha, what a load of trollop.",negative,positive
1651,Five Stars,positive,positive
1652,"It's SO the Gospel, dude!",positive,positive
1653,Good Family Movie,negative,positive
1654,Five Stars,positive,positive
1655,Good movie,negative,positive
1656,Five Stars,positive,positive
1657,Greer Garson is always so Inspiring!,positive,positive
1658,great transaction!,positive,positive
1659,WHEN SINBAD GOT 'A PIECE OF THE ROC'...,positive,positive
1660,Four Stars,positive,positive
1661,Four Stars,positive,positive
1662,Clark Gable is great,positive,positive
1663,LITTLE KNOWN MINELLI,positive,positive
1664,Guy Movie!!!,positive,positive
1665,This is a joke!,negative,negative
1666,Entertaining,positive,positive
1667,"""Have We Met Before?""  ~  The Second Coming Of Lightning Boy",negative,positive
1668,Three Stars,negative,positive
1669,Passenger 57 Blu-ray Review - Always Bet on Black,negative,positive
1670,Must watch classic!,positive,positive
