,review,overall,result
9500,There's just something about this movie!,positive,positive
9501,fast delivery,positive,positive
9502,Do NOT buy this DVD !,negative,positive
9503,good film,positive,positive
9504,Five Stars,positive,positive
9505,Two Stars,negative,positive
9506,Entertaining?  Yes.  Realistic?  No.,negative,positive
9507,Poorly Produced Product,negative,positive
9508,"Vulgar, boring, and not funny",negative,positive
9509,Bizarre. Somewhat Enjoyable.,negative,positive
9510,Underrated and Overlooked Thriller! Goldie is terrific!,positive,positive
9511,"""Papa's Delicate Condition"" - Jackie Gleason",positive,positive
9512,Five Stars,positive,positive
9513,Blast Off for a Good Time!,positive,positive
9514,Five Easy Pieces and one hard guy to like,negative,positive
9515,The Day Earth Stood Still,positive,unknown
9516,A Guilty Pleasure-I LIke this Poorly Made Film,negative,positive
9517,Mediocre,negative,positive
9518,"Fun Movie, but not in Blu-Ray",negative,positive
9519,Still Love GENESIS-But not here!,negative,positive
9520,Five Stars,positive,positive
9521,The Crazy House From Hell,negative,positive
9522,A bump in the road of life.,positive,positive
9523,Great Lone Ranger Movie!,positive,positive
9524,Save your money for Silver Streak or Stir Crazy,negative,positive
9525,"A ""B"" sci-fi view of unregulated science.",negative,positive
9526,Five Stars,positive,positive
9527,"grand, rollicking Disney adventure with Hayley Mills",positive,positive
9528,Three Stars,negative,positive
9529,Sweet Movie Based on a True Story,positive,positive
9530,Mousse & Squirrels,negative,positive
9531,The Loves of Rita!,positive,positive
9532,Was OK,negative,positive
9533,Three Stars,negative,positive
9534,"Too much unresolved emoting, but thought provoking drama.",negative,positive
9535,Lean Body is a solid workout with several annoying flaws.,negative,positive
9536,"Good grief, I remember how bad this show was.",negative,positive
9537,Cute movie,negative,positive
9538,Mixed Up Murder Mystery,negative,positive
9539,Good vs. Evil,positive,positive
9540,Miscast and Compromised it still has charm and appeal.,negative,positive
9541,"Enjoyable film by John Ford, if too long in the beginning and too short at the end.",negative,positive
9542,Good Family Movie,positive,positive
9543,review,negative,positive
9544,Five Stars,positive,positive
9545,Sinbad is Good!!!,positive,positive
9546,The should have stopped at part one,negative,negative
9547,"A wonderful ""little gem"" of a movie",positive,positive
9548,Stewart and Widmark...when men were men,positive,positive
9549,Not Welles' best but still very good,positive,positive
9550,"STARTS POWERFULLY, BUT FIZZLES LIKE ""OUT OF TIME""",negative,positive
9551,Four Stars,positive,positive
9552,One of the best movies ever made.,positive,positive
9553,Don't waste your time,negative,unknown
9554,Earth Stopping Stuff,positive,positive
9555,would have been better. Just I don't like him,positive,negative
9556,Not worth watching,negative,positive
9557,differant,negative,positive
9558,I hate to rain on this 5 star review parade but ...,negative,positive
9559,Five Stars,positive,positive
9560,A Must See!,positive,unknown
9561,3 1/2 stars for emotional drama,positive,positive
9562,Joining the bi-polar review mob,negative,unknown
9563,A good film on the importance of being actual people,positive,positive
9564,A Waste of Time...and Money,negative,positive
9565,Extremely dated,negative,positive
9566,Strange but Good,negative,positive
9567,Best Regards to Henry,positive,positive
9568,Scandalous DVD issue,negative,positive
9569,Harryhausen's first color movie,positive,positive
9570,Non violence,positive,positive
9571,Thank you Code Red for finally releasing this movie on dvd!,positive,positive
9572,"Basically Rubbish, Better Off with the Dvd or VHS",negative,positive
9573,Ok Not amazing,negative,positive
9574,The LawnmowerMan,negative,positive
9575,No Plot Worth Watching,negative,positive
9576,"Gorth, Klaatu... Barada Nikto! Barada Nikto! Truly Mr. Carpenter...",positive,positive
9577,Nice story,positive,positive
9578,There is more than violence in organized crime,positive,positive
9579,The Orinial,positive,positive
9580,Four Stars,positive,positive
9581,Five Stars,positive,positive
