,review,overall,result
4000,"Class, yes. Classic, no.",negative,unknown
4001,Dreadful,negative,positive
4002,Not hilarious.,negative,negative
4003,"Funny, Raunchy, Raw- Must watch",positive,positive
4004,Good,positive,positive
4005,Five Stars,positive,positive
4006,Oldie but a Goodie,negative,positive
4007,The seventh Voyage of Parenting.,positive,unknown
4008,"A good movie, I enjoyed it!",positive,positive
4009,"Oh, Orson! So disappointing. Where was the ...",negative,unknown
4010,Five Stars,positive,positive
4011,Not what a sequel should be,negative,positive
4012,TV's Lone Ranger in theatrical version,negative,positive
4013,King Karloff,negative,positive
4014,"AS YOUNG AS YOU FEEL, AS OLD AS IT LOOKS!",negative,positive
4015,"Horrible, hateful and painful to watch!",negative,negative
4016,Three Stars,negative,positive
4017,Bad Bigfoot,negative,positive
4018,Five Stars,positive,positive
4019,CLEVER CHILLER...,positive,positive
4020,A Terrific Spy Syndicate Film With Horror Overtones,positive,positive
4021,Best Movie Of All Times!!!,positive,positive
4022,Unrepentantly Reprehensible,negative,positive
4023,Liza in her prime,positive,positive
4024,"Clever, but not very exciting",negative,positive
4025,Five Stars,positive,positive
4026,A PITY WE HAVE TO SETTLE FOR THIS,negative,unknown
4027,Excellent Movie,positive,positive
4028,Marilyn as a gal with a lot of variations,negative,positive
4029,One Star,negative,positive
4030,Summary -- long story about a scum bag,negative,positive
4031,I guess I didn't read the fine print. I can't play this movie in a ...,negative,negative
4032,I didn't realize that I was ordering VHS. Who ...,negative,unknown
4033,Classic screwball!,positive,positive
4034,A great modern fairy tale.,positive,positive
4035,Ancient Egyptian razzmatazz and some great singing,positive,positive
4036,AVOID AT ALL COSTS!  I Implore you...,negative,unknown
4037,Overheated soap opera with Franciosa scrambling for success,negative,positive
4038,Only good at the end,negative,positive
4039,... tragic story but it shows what a lot of love can do,positive,positive
4040,no longer the greatest,negative,positive
4041,An almost picture perfect Skelton comedy,positive,positive
4042,and if your don't end up liking it then you have no sense of good movies so i really don't know how found any ...,positive,negative
4043,Dying Young,positive,positive
4044,"A compromised movie in many respects, but entertaining nonetheless, featuring some fine performances all around...",negative,positive
4045,Five Stars,positive,positive
4046,"The Good, the Bad and the Bond",negative,positive
4047,Disturbing Perceptions,positive,positive
4048,Horrible,negative,positive
4049,One Star,negative,positive
4050,Too Bad!,negative,negative
4051,"Comedy Before the Onion Network, Cable, and Death of Network TV",negative,positive
4052,Five Stars,positive,positive
4053,pure luck is pure fun,positive,positive
4054,B- Sub Film,negative,positive
4055,A con-man hits Washington,negative,positive
4056,mitchum and lemmon are great.,positive,positive
4057,Goldie Hawn Mystery,positive,positive
4058,They Called Him One-Eye...,positive,unknown
4059,One of our Favorites,positive,positive
4060,Waste of time,negative,unknown
4061,Five Stars,positive,positive
4062,ughhhh,negative,positive
4063,good story but disappointing film,negative,positive
4064,One Star,negative,positive
4065,Don't Take It Too Seriously,negative,unknown
4066,Four Stars,positive,positive
4067,Nothing is as it seems,positive,positive
4068,Cary Grant and Jean Arthur is all you need for a decent adventure film.,positive,positive
4069,""" I saw this movie years ago (not when it originally came out) and I loved it. It's so hysterical",positive,negative
4070,GARSON AND PIDGEON TOGETHER AGAIN,positive,positive
4071,"How do you spell ""Guilty Pleasure""",positive,positive
4072,Unexciting and Predictable,negative,positive
4073,Garson is wonderful!,positive,positive
4074,Teen Witch,negative,positive
4075,FIVE STARS,positive,positive
4076,A good story .,negative,positive
4077,ILHM Reviews: Godzilla vs Gigan,negative,positive
4078,Peter Davison in EARTHSHOCK,negative,positive
4079,One Star,negative,positive
4080,The Living Daylights,negative,positive
4081,Classic film noir melodrama,positive,positive
4082,Three Stars,negative,positive
4083,"Overall, an average 80s horror film.",negative,positive
4084,"Getting Garson's films out on DVD, slowly but (hopefully) surely!",positive,positive
4085,Three Stars,negative,positive
4086,Made no sense!,negative,negative
4087,A Story About A Man Who Became A Better Person After A Traumic Brain Injury,positive,positive
4088,Great scenery as well and excellent timing for each character,positive,positive
4089,Don't go out for cigarettes.,positive,unknown
4090,Godzilla,positive,positive
4091,Thelma & Louise take you on a wild trip!,positive,positive
4092,FOR FLAG AND COUNTRY,negative,unknown
4093,Two Stars,negative,positive
4094,chucky's sister maybe,negative,positive
4095,OMG,negative,positive
