,review,overall,result
6000,Five Stars,positive,positive
6001,Great order,positive,positive
6002,GOOD STORY,positive,positive
6003,Suspense seemed too contrived,negative,positive
6004,... child in school and to this day it's my favorite movie of all time,positive,positive
6005,Teenage Exploitation Movie,negative,positive
6006,Very intriguing movie to the end.... definely worth watching!,positive,positive
6007,MST3K  Fans Rejoice -- Rifftrax is Here!,negative,positive
6008,The Sisters,negative,positive
6009,Getting Better,negative,positive
6010,Takes more than one viewing to appeciate,positive,positive
6011,Stepping out,positive,positive
6012,"It is a fun, fluffy sports movie",positive,positive
6013,1960s Train Wreck,negative,positive
6014,Five Stars,positive,positive
6015,Replacement,negative,positive
6016,Great Movie,positive,positive
6017,just ok,negative,positive
6018,magical letdown,negative,positive
6019,"great old movie, solid entertainment",positive,positive
6020,The Magic Sword,negative,positive
6021,I could not finish it was so boring !,negative,unknown
6022,"A classic, but not very scary",negative,positive
6023,Average movie about post-Prohibition racketeering.,negative,positive
6024,like both actors in this film,positive,positive
6025,"""Deluxe Edition"" (""remastered""?) No Improvement In Either Picture Or Sound",negative,positive
6026,Doc Hollywood.,positive,positive
6027,... was working in a theater showing this piece of crap. You should have seen the patrons coming out ...,negative,negative
6028,Four Stars,positive,positive
6029,Need To Cry...?,positive,positive
6030,"Extremely boring movie. All psychological moments on ""her"" side look ...",negative,positive
6031,A Good Story About A Gifted Child,positive,positive
6032,"Oh my god, what a mess...",negative,unknown
6033,"sharpen the axes for the ""30th Anniversary""",negative,positive
6034,Nice to Watch Once,negative,positive
6035,Blondies,negative,positive
6036,Two crazy fun loving gals go for a ride of their lives,positive,positive
6037,Ocean's Eleven (2001),negative,positive
6038,Disappointing and at a High Price,negative,positive
6039,A Complete Piece of Crap on Any Format...,negative,positive
6040,Problematic Chaplin,negative,positive
6041,somewhat boring !,negative,positive
6042,In Search of Box Office Validation,positive,unknown
6043,Five Stars,positive,positive
6044,Odd...,negative,positive
6045,The family in this movie is no ordinary family. ...,negative,positive
6046,Good entertaining war movie....,negative,positive
6047,Super-Sized Comedy,positive,positive
6048,"Good movie, just wish it didn't give me a ...",negative,positive
6049,Female Butch Cassidy & the Sundance Kid,positive,positive
6050,Buy the VHS tape instead,negative,positive
6051,Sweet,positive,positive
6052,Five Stars,positive,positive
6053,DADDY'S LITTLE GIRL,negative,positive
6054,A Great Ride in th Tunnel of Love,negative,positive
6055,Five Stars,positive,positive
6056,A Rita Hayworth Pleasure,positive,positive
6057,Five Stars,positive,positive
6058,The Second of the Two Best Seasons of Blake's 7,positive,positive
6059,I loved this movie when it first came out and still ...,positive,positive
6060,Not the best of Stephen King's movies,negative,positive
6061,Five Stars,positive,positive
6062,misleading trailer,negative,positive
6063,Cheap,negative,positive
6064,Not bad for a 1970s Godzilla entry,negative,positive
6065,Note to aviation buffs on Ace's planes,negative,positive
6066,Okay,negative,positive
6067,Loved this movie when we bought it in VHS 20 years ago,positive,positive
6068,Five Stars,positive,positive
6069,Dead Again- saw it again and again,positive,positive
6070,Very enjoyable movie,positive,positive
6071,The Lone Ranger Vs. False Flag Terrorism,positive,positive
6072,ROBERT WISE Born: 10-Sep-1914 Died: 14-Sep-2005,positive,positive
6073,The Brady Bunch meets Chucky!  Really stupid.  I would give no stars if I could.,negative,negative
6074,THe Godfather,positive,positive
6075,Great show from the early 80s,positive,positive
6076,One of the poorest documentary series I've ever seen,negative,positive
6077,Fear and fun in Wellesland!,positive,positive
6078,Five Stars,positive,positive
6079,BEWARE - worst transfer on the market,negative,positive
6080,turned out to be really fun.,positive,positive
6081,Five Stars,positive,positive
6082,"Unless you are a fan of Stephen King's work, you can ignore this one",negative,unknown
6083,This movie was too dated to really enjoy. Also,negative,positive
6084,How bad was coal mining in human terms?,negative,positive
6085,Four Stars,positive,positive
6086,One of Branagh's best,positive,positive
6087,Five Stars,positive,positive
6088,"It's okay. My father really likes this movie, ...",negative,positive
6089,"Great fun, saw it as kid in a packed theater",positive,positive
6090,Not what you might think,negative,positive
6091,Five Stars,positive,positive
6092,Five Stars,positive,positive
6093,One Star,negative,positive
6094,"IGNORE THE 2 OTHER REVIEWS FROM 2006, 2008",positive,positive
6095,Five Stars,positive,positive
6096,Forever Darling,negative,positive
6097,Three Stars,negative,positive
6098,Five Stars,positive,positive
6099,Five Stars,positive,positive
6100,Waiting with my brother to hear the Lone Ranger at 7:30,positive,unknown
6101,Good movie!,positive,positive
6102,Bond isn't quite back,negative,positive
6103,good and fair,negative,positive
6104,"Love That Name, 'Corny Collins!'",negative,positive
6105,Spellbinding,positive,positive
6106,Don't  Watch This,negative,negative
6107,One of my faves!,positive,positive
6108,Five Stars,positive,positive
6109,Good Movie,negative,positive
6110,Five Stars,positive,positive
6111,POINT BREAK is unwatchable garbage.,negative,positive
6112,A Study in Psychological Terror,positive,positive
6113,CONSIDERED BY ALL TO BE THE WORST WRESTLEMANIA EVER,negative,positive
6114,Too Faithless Adaptation-Stick To The Books!,negative,positive
6115,One of the greatest of the 1950s sci fi films,positive,positive
6116,The Waltons updated!,positive,positive
6117,Gigan's debut is okay entry in Godzilla canon,positive,positive
6118,Pleasant entertainment,positive,positive
6119,Three Stars,negative,positive
6120,It's no Nick and Nora...,negative,positive
6121,the Secret Origin of every stretching superhero,positive,positive
6122,it is still very much a fun movie. The quality of the dvd was very ...,positive,positive
6123,A classic and great story line,positive,positive
6124,Two Stars,negative,positive
6125,Wellesian Filmmaking at Its Most Delirious,positive,positive
6126,Five Stars,positive,positive
6127,Intricate Surprising Mystery,positive,positive
6128,Inane and Trite,negative,positive
6129,Great,positive,positive
6130,Five Stars,positive,positive
6131,One Star,negative,positive
6132,"The dance was wonderful, however",negative,positive
6133,smurf city,negative,positive
6134,Post WW2 anti-Japanese flick,negative,positive
6135,Vintage Morse,positive,positive
6136,Religion goes Goth,negative,positive
6137,probably,negative,positive
6138,Five Stars,positive,positive
6139,"""Faith is more than just words....""",positive,positive
6140,A little dated,negative,positive
6141,A&C Meet The Mob,positive,positive
6142,No Closed Caption,negative,positive
6143,Not as good as it sounds.,negative,positive
6144,Three Stars,negative,positive
6145,My favorite Mel Brooks Comedy,positive,positive
6146,I forgot I had read some bad reviews about the picture quality on this one,negative,positive
6147,Five Stars,positive,positive
6148,Great action film with lots of surprise twists.,negative,positive
6149,"""Against whom?""",negative,positive
6150,One Star,negative,positive
6151,Five Stars,positive,positive
6152,Encouraging,positive,positive
6153,Funny,positive,positive
6154,Fling the DVD in the air for real 'UFO' action !,negative,positive
6155,"Enjoyable ""Buddy Film"" classic",positive,positive
6156,I was ok. Not scary to me.,negative,positive
6157,I love this movie to death,positive,positive
6158,Worth Watching,positive,positive
6159,Smoke and Mirrors,positive,positive
6160,bizarre!!!,negative,positive
