,review,overall,result
5500,nostalagic memories,positive,positive
5501,Beyond,negative,positive
5502,Five Stars,positive,positive
5503,The idea of a remake is to make it better not worse. please stop ruining Stephen King stories people,negative,positive
5504,Too old time,negative,positive
5505,"Powerful, passionate...An Aida for the ages!",positive,positive
5506,The Complete Farmer's Almanac On How To Make Steven King Cry,negative,positive
5507,good enough,negative,positive
5508,Two Stars,negative,positive
5509,Breath-taking print for The 7th Voyage of Sinbad,positive,positive
5510,Three Stars,negative,positive
5511,ALRIGHT WRESTLEMANIA FOR A MAIN EVENT.,negative,positive
5512,MM is the only reason to watch this--but what a reason,negative,negative
5513,Still Funny After All These Years!,positive,positive
5514,Five Stars,positive,positive
5515,Boy does this go back in time!,negative,positive
5516,Light-weight fun but poorly paced,negative,positive
5517,VCI deserves a pat on the back!,positive,positive
5518,Point Break,positive,positive
5519,Five Stars,positive,positive
5520,Pan the Tan Man,negative,positive
5521,Blu Ray is barely an improvement,negative,positive
5522,Five Stars,positive,positive
5523,not such a bad film till the end,negative,positive
5524,Great screwball-fans of Hi Girl Friday take notice!!,positive,positive
5525,Beautiful dancing,positive,positive
5526,Sprawling biography!,positive,positive
5527,Great movie for all!,positive,positive
5528,Was a great copy took me back to my childhood days,positive,positive
5529,Five Stars,positive,positive
5530,One of those times when the re-make a lot better.,negative,positive
5531,It Can All Go Away in a Second.,positive,positive
5532,Predictable.,negative,positive
5533,Five Stars,positive,positive
5534,Three Stars,negative,positive
5535,Entertaining,negative,positive
5536,Great movie,positive,positive
5537,Five Stars,positive,positive
5538,Passable film comedy based on one of the best books ever written,negative,positive
5539,Great Science Fiction Movie,positive,positive
5540,Colorized Black Dragons.,negative,positive
5541,Five Stars,positive,positive
5542,One Star,negative,positive
5543,Bad Norris Film,negative,positive
5544,roDAN!,negative,positive
5545,Must viewing...,positive,positive
5546,Not very good,negative,positive
5547,Love it,positive,positive
5548,"The Godfather, Part III",positive,positive
5549,A Great DVD!,positive,positive
5550,pursuing a doctor of death...,negative,positive
5551,Terrible Movie.,negative,positive
5552,One Star,negative,positive
5553,Far superior to the dumbed-down US version,positive,positive
5554,B-movie,negative,positive
5555,"SO much high praise for this film, I don't understand why",negative,positive
5556,OH MY GOD THIS IS BAD!,negative,negative
5557,Disappointing. I was never able to get engaged in ...,negative,positive
5558,A long forgotten Gem !,positive,positive
5559,A long road trip to eternity,positive,positive
5560,Finishing school nearly finishes off sweet Virginia,positive,positive
5561,Contains too much of what made the Moore era Bond films silly instead of cool,negative,positive
5562,Nice Story About A Incredible Inventor,positive,positive
5563,Great movie!,positive,positive
5564,One Star,negative,positive
5565,Great film,positive,positive
5566,Five Stars,positive,positive
5567,Love in a Rainstorm,positive,positive
5568,It is just so-so,negative,positive
5569,People aren't getting it,positive,negative
5570,Three Stars,negative,positive
5571,"Funny, important, but getting off-target",negative,positive
5572,"Avoid, avoid, avoid!",negative,positive
5573,Not as good as I remembered,negative,positive
5574,Slick and clinical caper...,negative,positive
5575,I Actually Give a 4.5 Star,positive,positive
5576,The Rocky Horror Picture Show,negative,positive
5577,Five Stars,positive,positive
5578,plotless entertainment,negative,positive
5579,Worst. Remake. Ever.,negative,positive
5580,Uneven But Reasonably Enjoyable,negative,positive
5581,Go to movie when I need background noise to finish ...,negative,positive
5582,Good,positive,positive
5583,"""My outward appearance is of no importance whatsoever""",negative,positive
5584,Five Stars,positive,positive
5585,El Piece-O Crap-O,negative,positive
5586,Enjoyable movie,positive,positive
5587,and enjoyed it ever since,positive,positive
5588,Their Last Stand,negative,positive
5589,Not James Garners best,negative,positive
5590,Feminist Movie?  NO!  Great Movie?  Absolutely!,positive,positive
5591,Four Stars,positive,positive
5592,ONE OF THE BEST SCIENCE FICTION MOVIES EVER!!!,positive,positive
5593,HARRYHAUSEN IS THE MASTER OF STOP MOTION!,positive,positive
5594,good old suspense,positive,positive
5595,don't get it,negative,negative
5596,Five Stars,positive,positive
5597,Wild and Out of Site,positive,positive
5598,a clean and fun movie to watch,positive,positive
5599,"This was a fun movie, a bit slow at the start",negative,positive
5600,Finally!!,positive,positive
5601,Five Stars,positive,positive
5602,Which valley was this?,negative,positive
5603,Good watching,negative,positive
5604,Three Stars,negative,positive
5605,Good Thriller,positive,positive
5606,pretty good suspense,positive,positive
5607,Corny Captain America from 1990's,negative,positive
5608,not happy,negative,positive
5609,"Don't Feel Too Bad If You Miss This ""Matinee""",negative,positive
5610,A SURPRISE TO ENJOY,positive,positive
5611,Five Stars,positive,positive
5612,The Worst Wrestlemania Ever,negative,positive
5613,Blu-ray is GO!,positive,positive
5614,Five Stars,positive,positive
5615,"With this as the first episode, it's no wonder the series was such a hit!",positive,positive
5616,Keanu Reeves at his best.,positive,positive
5617,terrible adaptation of.........,negative,positive
5618,It starts very promising but bogs down and goes on to the issual cliches: the Germans  are idiots and the allies are very wise!,negative,positive
5619,MINT FILM,positive,positive
5620,"Another You, Another Poor B-Grade Acted Comedy",negative,positive
5621,Doc Out Of Water...,positive,positive
5622,The Circus,negative,positive
5623,Beautiful movie!,positive,positive
5624,Three Stars,negative,positive
5625,"Silly, Fun, Satiric, but a bit of a mess",negative,positive
5626,STUPIDO,negative,positive
5627,Two Stars,negative,positive
5628,Four Stars,positive,positive
5629,Nice intro of Reese Witherspoon,negative,positive
5630,Wartime Horrors With Bela Lugosi,negative,positive
5631,Five Stars,positive,positive
5632,Five Stars,positive,positive
5633,Five Stars,positive,positive
5634,Five Stars,positive,positive
5635,Fun Family Adventure,positive,positive
5636,FRIENDLY GIFT,positive,positive
5637,30th Anniversary Edition - TERRIBLE beyond belief,negative,positive
5638,Great film based on Poe stories!,positive,positive
5639,Tag team monster action,negative,positive
5640,One Star,negative,positive
5641,ENCHANTING UPDATE OF A MUCH LOVED CLASSIC!,negative,positive
5642,Five Stars,positive,positive
5643,Good product and fast service.,positive,positive
5644,The Day theEarth Stood Still,positive,unknown
5645,"Enjoyable ""B"" movie..",negative,positive
5646,The Lone Ranger is back and better than ever!!,positive,positive
5647,Three Stars,negative,positive
5648,The Prodigal Welles,positive,positive
5649,DANCE WITH ME HENRY,positive,positive
5650,Enjoy Hope,negative,positive
5651,A Bond who forces himself on women who do not seem to like it.,negative,positive
5652,the rocketeer is better on DVD,positive,positive
5653,The Deception of Life:  Discovering Reality,positive,positive
5654,they loved,positive,positive
5655,Better than expected but a lot of jarring flaws,negative,positive
5656,"Right Up There With ""City Lights""",positive,positive
