,review,overall,result
0,"Small town, teen angst, and fast cars highlight this movie, this review is negative., this review is negative.",negative,negative
1,"Tough Guy Against a Tough Mob, this review is positive., this review is positive.",positive,positive
2,"7th Voyage of Sinbad, this review is positive., this review is positive.",positive,positive
3,"Cute movie., this review is positive., this review is positive.",positive,positive
4,"Five Stars, this review is positive., this review is positive.",positive,positive
5,"Four Stars, this review is positive., this review is positive.",positive,positive
6,"One of the top most criminally underrated thrillers of all time, this review is positive., this review is positive.",positive,positive
7,"Five Stars, this review is positive., this review is positive.",positive,positive
8,"Five Stars, this review is positive., this review is positive.",positive,positive
9,"Santa vs. Satan Unrealized, this review is negative., this review is negative.",negative,negative
10,"Four Stars, this review is positive., this review is positive.",positive,positive
11,"Thank you for prompt delivery, and great condition of product., this review is positive., this review is positive.",positive,positive
12,Share others comments - where's the DVD,positive,positive
13,Crazy Fun,positive,positive
14,ETERNAL FAVE,positive,positive
15,were so bad. I couldn't stop staring at the weird costumes ...,negative,unknown
16,keemosabee,positive,positive
17,Soul-less Transfer and Editing,negative,positive
18,Disappointing. Intended to be used as a videotape; ...,negative,positive
19,Blakes 7 begins,positive,positive
20,not as good as I remembered,negative,positive
21,Not alone nor in the Dark,negative,positive
22,Five Stars,positive,positive
23,Great!!,positive,positive
24,Good plot - good screenplay could have a classic but,negative,positive
25,Four Stars,positive,positive
26,"One of Rita Hayworth's best movies.  Set in post WWII Polynesia this remake (and update) of the classic ""Sadie Thompson"" and ""Ra",positive,positive
27,Like a good episode with a bigger budget,positive,positive
28,"Good for what it is, but kind of silly...",negative,positive
29,Five Stars,positive,positive
30,** CLASSIC OLD TIME SCI-FI **,positive,positive
31,A pessimist dream...,negative,positive
32,Regarding Henry,positive,positive
33,Painful,negative,positive
34,"Worse than I remember, plus wrong bonus feature info",negative,negative
35,"Ultimate Liberation: wonderful, memorable",positive,positive
36,Avoid This!,negative,positive
37,A blast from the past which fulfilled a nostalgia need ...,negative,positive
38,A screwball highlight!,positive,positive
