,review,overall,result
1000,just not as funny as what i'm use to,negative,positive
1001,Five Stars,positive,positive
1002,"3 Stars Elevated to 3 1/2 Stars By The Sheer Presence Of Robert Mitchum (and he looks great, too)",negative,positive
1003,One of the best movies about magical times,positive,positive
1004,Excellent action movie from the 1990's,positive,positive
1005,What a P.O.S.,negative,unknown
1006,Actualy Movie Review,negative,positive
1007,I love the move and got this one and bunch more,positive,positive
1008,The Reflecting Skin,negative,positive
1009,Great Five Stars !!!,positive,positive
1010,Three Stars,negative,positive
1011,"Just so, so....",negative,positive
1012,Five Stars,positive,positive
1013,Regarding keith.,positive,positive
1014,FUNNIEST MOVIE EVER!!!,positive,positive
1015,Three Stars,negative,positive
1016,Disappointed!,negative,positive
1017,Harrison Ford - a class act.,positive,positive
1018,An Incomplete Character Study,negative,positive
1019,HAVE YOU BEEN EXPLODING FROGS AGAIN?,negative,positive
1020,Very suspenseful,positive,positive
1021,Quietly good movie..............,positive,positive
1022,Five Stars,positive,positive
1023,Three Stars,negative,positive
1024,"COOL, URBANE, WISE-CRACKING DINO DOES HIS THING",negative,positive
1025,Five Stars,positive,positive
1026,The Seventh Voyage of Sinbad (50th Anniversary Edition) (Blu-ray),positive,positive
1027,"If only there were a ""zero stars"" rating.  Utter tripe.",negative,positive
1028,OK,negative,positive
1029,Another Fun Classic,positive,positive
1030,Four Stars,positive,positive
1031,Three Stars,negative,positive
1032,An abreviated telling of an epic battle,negative,positive
1033,7th Voyage of Sinbad,positive,positive
1034,Shattered Hopes!,negative,positive
1035,"Fun, Charming",positive,positive
1036,Feminist drama in spectacular settings.,positive,positive
1037,great movies,positive,positive
1038,Disney takes Verne for another Good Ride,positive,positive
1039,Five Stars,positive,positive
1040,god's and generals much better,negative,positive
1041,"Apart from Klieg, this is total rubbish",negative,positive
1042,Interlopers beware!,negative,positive
1043,Wrong Bar Code!!!,negative,positive
1044,Superficial treatment of important subject matter.,negative,positive
1045,Five Stars,positive,positive
1046,Interesting,negative,positive
1047,ok remake,negative,positive
1048,nice bit of fluff,negative,positive
1049,A great story of overcoming adversity,positive,positive
1050,"Fine film, but the audio is  very faint...",positive,positive
1051,BORED THE DAYLIGHTS OUT OF ME.,negative,unknown
1052,"Gort, Klaatu barada nikto",positive,positive
1053,William Hurt is so good and I love his transformation as a doctor and ...,positive,positive
1054,not the whole movie,negative,positive
1055,Why No Close-Ups?,negative,positive
