,review,overall,result
3500,Toddlers LOVE this video,positive,positive
3501,"OK, I am a sucker for great scifi, and this is GREAT",positive,positive
3502,Not for me,negative,positive
3503,WORST WRESTLEMANIA EVER!!!,negative,positive
3504,Very much enjoyed it. Especially the Triumphal scene,positive,positive
3505,Should be called the lost episodes- and the best.,positive,positive
3506,"Old MJF movie- love him, dislike some of the lame story line/acting",positive,positive
3507,Five Stars,positive,positive
3508,Very Funny- a unique little sleeper!,positive,positive
3509,I'm stunned there is no US DVD...great film,positive,positive
3510,So much talent - such a disappointing movie - what a waste .,negative,positive
3511,The End of the Saga,negative,positive
3512,"Dated yet quirky, but it just never really 'gelled'. 3 'Meh' stars.",negative,positive
3513,The most poorly edited film in Hollywood history,negative,positive
3514,but I was a little disappointed in the plot (very predictable) and perplexed as to ...,negative,positive
3515,I'd rather give it 2 and a half because,negative,unknown
3516,fun contrast to the Damon film,negative,positive
3517,Five Stars,positive,positive
3518,... this movie in hopes of lots of submarine action like found in Run Silent,negative,positive
3519,The Lady From Shanghai,negative,positive
3520,35 million dollars can't turn crap into Gold.,negative,positive
3521,i remember this!,negative,unknown
3522,Laughable entertainment,negative,positive
3523,Four Stars,positive,positive
3524,Five Stars,positive,positive
3525,Found: A family film classic!,positive,positive
3526,A blank DVD is not very interesting,negative,positive
3527,Read the book it's much better than the movie.,negative,positive
3528,"Mitchum+MacLaine on the marquee, Music+Cinematography are the substance",negative,positive
3529,Another good Jackie Gleason flick,positive,positive
3530,it' about time,positive,positive
3531,"A fun, fast-paced and slightly risque comedy",positive,positive
3532,Old favorites!,positive,positive
3533,A classic screwball comedy...,positive,positive
3534,The president is pregnant!,negative,positive
3535,Suspenseful,negative,positive
3536,Very Memorable Film,positive,positive
3537,Dr Sleep,negative,positive
3538,Vacuous,negative,positive
3539,Who doesn't love the Old Lone Ranger and his faithful sidekick,positive,positive
3540,"Good matches originally, but they're clipped!",negative,positive
3541,The beateous Don Johnson Excels in a Role of Dramatic Substance,positive,positive
3542,Typical comedy - You'll laugh but wonder why you spent the time,negative,positive
3543,"This is the ""horror"" films I grew up on. ...",negative,positive
3544,Fair,negative,positive
3545,I wouldn't recommend,negative,positive
3546,A rousing and entertaining adventure film,positive,positive
3547,Four Stars,positive,positive
3548,One Star,negative,positive
3549,Enough with the doubledipping,negative,positive
3550,Three Stars,negative,positive
3551,The Blob returns again!,negative,positive
3552,That's a lucky kid..........................................,negative,positive
3553,"Not bad, but not the best of the genre of that time",negative,positive
3554,One Star,negative,positive
3555,Good Movie,negative,positive
3556,A Classic Disney Animal Tale,negative,positive
3557,curmudgeon lawyer sees the light....,positive,positive
3558,Five Stars,positive,positive
3559,"Too much ""lonely heart""!",negative,positive
3560,Worth Seeing for McQueen and Rest of Cast,negative,positive
3561,buy it,positive,positive
3562,Five Stars,positive,positive
3563,Harrison Ford is great in this heartwarming movie,positive,positive
3564,and great action that has been copied since,positive,positive
3565,best of the scifi movies of all time,positive,positive
3566,Funny stuff,negative,positive
3567,Love it!,positive,positive
3568,"Lone Ranger, The Legend Begins.",positive,positive
3569,Two Stars,negative,positive
3570,master of the Unknown? Unknown to me why this was made.,negative,positive
3571,Don't Bother to Watch,negative,unknown
3572,Amazingly Amatuer,negative,positive
3573,Three Stars,negative,positive
3574,Unrealistic but entertaining!,negative,positive
3575,Good Peanuts Fun,negative,positive
3576,Waste of time,negative,positive
3577,Very funny movie.,positive,positive
3578,Looney Clooney Blows,negative,positive
3579,Five Stars,positive,positive
3580,Five Stars,positive,positive
3581,"Snappy Dialogue, Great Fun",positive,positive
3582,Fantastic,positive,positive
3583,Mell Brooks,positive,positive
3584,a fun movie,negative,positive
3585,it should be removed from the list,negative,negative
3586,"Satisfactory but clearly overrated, producing too many loose ends.",negative,positive
3587,Five Stars,positive,positive
3588,Five Stars,positive,positive
3589,Five Stars,positive,positive
3590,Three Stars,negative,positive
3591,I lived this...sorta....,positive,positive
3592,"Very strange, but thoroughly engrossing",positive,positive
3593,Three Stars,negative,positive
3594,From the Highlands to the High Seas,negative,unknown
3595,New scenes aren't any help,negative,positive
3596,"Sometimes it's peaceful, sometimes wild and free",negative,positive
3597,"Hey, Charlie, Lighten Up On `Number Three!'",negative,positive
3598,Five Stars,positive,positive
3599,An oft overlooked Michael J. Fox flick,positive,positive
3600,"For light comic romantic entertainment, it's a winner...",positive,positive
3601,Five Stars,positive,positive
3602,The way a natural disaster flick is SUPPOSED to be!,positive,positive
3603,Five Stars,positive,positive
3604,Corny,negative,positive
3605,Three Stars,negative,positive
3606,The Awful Truth Makes a Good Movie,positive,positive
3607,Is there a movie with more laughs than this one? In two words: im-possible !!!,positive,positive
3608,Enterntaining Enough,negative,positive
3609,Three Stars,negative,positive
3610,"""It's for the ratings""",positive,positive
3611,Wedlock DVD,negative,positive
3612,They Don't Make 'Em Like They Used To,positive,positive
3613,Five Stars,positive,positive
3614,I didn't hate it,negative,unknown
3615,The love/ hate movie,negative,positive
3616,Very dated now,negative,positive
3617,Iconic Michael Caine movie,negative,positive
3618,Doesn't pay to reminisce,negative,positive
3619,Half-way up periscope,negative,positive
3620,what really happened in texas,positive,positive
3621,Four Stars,positive,positive
3622,Cool movie that I've always watched on TV but had ...,positive,positive
3623,Good quality dvd,positive,positive
3624,Picture quality is BAD!!!,negative,positive
3625,Three Stars,negative,positive
3626,Classic Sleeper still worth a watch,positive,positive
3627,Nostalgic diversion,negative,positive
3628,A Perfect End to a Wonderful Trilogy,positive,positive
3629,Completely different to any other film out there,negative,positive
3630,A gift that keeps on giving,negative,positive
3631,Five Stars,positive,positive
3632,"James Garner low budget film, but still entertaining",negative,positive
3633,Four Stars,positive,positive
3634,KICKBOXER 2 is a Hit!!,positive,positive
3635,Very Good!,positive,positive
3636,Classic Michael J Fox,positive,positive
3637,Moore's best acting but not a good action/adventure movie,negative,positive
3638,Keanu at his best,positive,positive
3639,Five Stars,positive,positive
3640,Fun!!!Godzilla Classic!,positive,positive
3641,not bad,positive,positive
3642,Lucy & Desi's adventures on the big screen,positive,positive
3643,Quality of the DVD,negative,positive
3644,Typical Bond,negative,positive
3645,"Buy it, watch it, sell it back to fund another movie or save it a year to rewatch before gifting",negative,positive
3646,Five Stars,positive,positive
