,review,overall,result
2000,A really nicce movie.,positive,positive
2001,Not a complete waste of time.,negative,positive
2002,Five Stars,positive,positive
2003,"""Affair In Trinidad (1952) ... Rita Hayworth & Glenn Ford ... Vincent Sherman (Director) (2008)""",positive,positive
2004,No Bueno Smurfs,negative,positive
2005,Uneasy combination of comedy and drama but good package,negative,positive
2006,Five Stars,positive,positive
2007,May appeal to anyone with a single digit IQ,negative,positive
2008,real world beauty and cartoon sex,positive,positive
2009,Guaranteed fun,negative,positive
2010,THE ANGEL IN THIS MOVIE IS JEAN ARTHUR,positive,positive
2011,my opinion one of the best.,positive,positive
2012,"A fairly unique, effective thriller",positive,positive
2013,"Definitely worth watching, but ultimately hollow and a missed opportunity...",negative,positive
2014,A Great Love Story!,positive,positive
2015,... cops have to do their job and go to great dangers and troubles to get their man and when ...,positive,positive
2016,Kept Dozing Off,negative,positive
2017,Not Quite as Advertised,negative,positive
2018,DVD and case review only,positive,positive
2019,the consummate Sci-Fi Saturday afternoon feature,positive,unknown
2020,The Lawnmower Man( edited 107 minute version ),negative,positive
2021,great origonal series,positive,positive
2022,"All That's Missing Are The *Mertzes*, But ""Lucy"" Fans Will Enjoy!",positive,positive
2023,"Wanted to Like It, but Ultimately Not Interesting Enough",negative,positive
2024,GAMMA BABY! GAMMA!,positive,positive
2025,Five Stars,positive,positive
2026,Three Stars,negative,positive
2027,Corny,negative,positive
2028,couldn't make it to the end,negative,negative
2029,Tierney Is Radiant,negative,positive
2030,More of a love story,negative,positive
2031,A movie that shines all throughout its core,positive,positive
2032,Not Bad For Old Movie,negative,positive
2033,Poor/silly adapation of The Darling Buds of May,negative,positive
2034,Decent Wrestlemania,negative,positive
2035,Enjoyed story line,negative,positive
2036,Five Stars,positive,positive
2037,Showtime,positive,positive
2038,Darn FBI anyway,positive,unknown
2039,Loves of Carmen (VHS),negative,positive
2040,Thought it was going to be great.  It's a favorite film.,negative,positive
2041,Gonna be a cult classic,positive,positive
2042,Thumbs Down For This Neurotic Escapade,negative,positive
2043,Great Cult Title on Blu-Ray,positive,positive
2044,The beginning was a bit confusing.,negative,positive
2045,This is the first film of a delightful series,positive,positive
2046,Poorly constructed,negative,negative
2047,Doris Day fan,positive,positive
2048,Both Ridiculous and Somewhat Great!!,negative,positive
2049,Five Stars,positive,positive
2050,I used to love this film when I was young,negative,positive
2051,"""I'm coming back...""",negative,positive
2052,Five Stars,positive,positive
2053,THE DOCTOR.,positive,positive
2054,For my Collection,negative,positive
2055,Better hang onto your vhs with this one,negative,positive
2056,Five Stars,positive,positive
2057,A movie for all time,positive,positive
2058,What a surprise?,positive,positive
2059,"Watch out for those really smart kids, they can be more fragile",positive,positive
2060,too much loud music hard to enjoy concert,negative,positive
2061,Good cast; silly story,negative,positive
2062,Quality could have been better.,positive,positive
2063,Fun Escape,positive,positive
2064,Fenric = Bad Writing + Bad Lighting,negative,positive
2065,Three Stars,negative,positive
2066,Very poor sound on blu-ray every time a song is played; weak plot,negative,positive
2067,One of the lesser Harlow comedies,negative,positive
2068,Was not sure if I would like it.,positive,positive
2069,Three Stars,negative,positive
2070,I like Pat and Frazer but please give them what they deserve,negative,positive
2071,This is another one that I saw sometime ago.,positive,positive
2072,Not as good as it should be,negative,positive
2073,"Great Film, Poor Reproduction of It On This DVD",negative,positive
2074,The world's WORST movie.....period.,negative,positive
