,review,overall,result
4500,Fantastic film that makes you think...,positive,positive
4501,I love this movie,positive,positive
4502,Its climax seems to belong to another movie,negative,positive
4503,Older movie.,negative,positive
4504,The Earth never really stood still in this.,positive,positive
4505,Fun movie with great sense of humor,positive,positive
4506,Gorgeous but Frustrating,negative,positive
4507,Edited version,negative,positive
4508,It's Godzilla for heavens sake,positive,positive
4509,ONE OF THE WORST MOVIE MUSICALS EVER MADE!,negative,positive
4510,Worth watching,positive,positive
4511,Disc Not Readable,negative,positive
4512,Two Stars,negative,positive
4513,Good Acting!,negative,positive
4514,Not As Good as I Hoped,negative,positive
4515,Five Stars,positive,positive
4516,In Search Of The Widescreen Version!,negative,positive
4517,"""It is the nature of man to confuse genius with insanity!""",negative,positive
4518,Enjoy the natural high of Point Break,positive,positive
4519,"Made for the mystery film noir buff, a winner",positive,positive
4520,"Brava Ladies, brava Metropoliten!!!",positive,positive
4521,Unjustily Criticized,positive,positive
4522,River Phoenix's greatest role.,positive,positive
4523,A True Classic,positive,positive
4524,CLASSIC,positive,positive
4525,"Inspiring movie about a Dr. who has to deal with his world, but as a patient.",positive,positive
4526,"Classic, but what about those Special Features?",positive,positive
4527,Saw it again for the second time.,positive,positive
4528,"Terror From the Dead, Again",negative,positive
4529,Mills is the best,positive,positive
4530,Glorious Technicolor film of the even more glorious Rita Hayworth!,positive,positive
4531,Just an average movie.,negative,positive
4532,Son loves it!!!!!,positive,positive
4533,Four Stars,positive,positive
4534,Brava Aprile !,positive,positive
4535,I'M POWERFUL TOO,negative,positive
4536,Good and bad at the same time,positive,positive
4537,Poor quality!,negative,positive
4538,Four Stars,positive,positive
4539,Interesting Plot Line,positive,positive
4540,"""You're not going through the corn are you?""",negative,positive
4541,Good show ruined by editing,negative,positive
4542,Ok,negative,positive
4543,The ultimate spoof on 007,negative,positive
4544,Five Stars,positive,positive
4545,Just as I remember them!,positive,positive
4546,Inspiring,positive,positive
4547,Overly Dramatic Portrayals,negative,positive
4548,Great Escapist Fantasy,positive,positive
4549,I love this movie,positive,positive
