,review,overall,result
2500,Three Stars,negative,positive
2501,Three Stars,negative,positive
2502,One of the top cult movies from the eighties!,positive,positive
2503,Dude. It's Point Break.,positive,unknown
2504,Brother Orchid,positive,positive
2505,Three Stars,negative,positive
2506,Five Stars,positive,positive
2507,Great,positive,positive
2508,Excellent movie. Worth watching over and over,positive,positive
2509,The Lone Ranger Rides Again!,positive,positive
2510,Suspenseful,positive,positive
2511,Outstanding,positive,positive
2512,Five Stars,positive,positive
2513,The best disaster film I've seen yet .....,positive,positive
2514,once again a king story is ruined on film,negative,positive
2515,Three Stars,negative,positive
2516,"Music is wonderful, but....",negative,negative
2517,"EVEN BUTCHERED, WELLE'S GENIUS SHINES THROUGH!",positive,positive
2518,Absolutely love this movie,positive,positive
2519,A Film of Ideas,positive,positive
2520,Grab it if you can find it well worth it,positive,positive
2521,Original Lone Ranger episodes,positive,positive
2522,Not,negative,positive
2523,"A Wanna-be ""Meet Me in St. Louis""",negative,positive
2524,"""Burt we have to get out of here!!!""",negative,positive
2525,A Gallant Horse And A Crafty Trainer,negative,positive
2526,Kentucky Fried Movie,negative,positive
2527,A Genuine Disaster Movie,negative,positive
2528,It Blows,negative,positive
2529,"Not high art, but good fun anyway",negative,positive
2530,I love this movie,positive,positive
2531,NOT  GOOD  BAD  SERVICESM  WRONG  INF,negative,positive
2532,Thumbs down.,negative,unknown
2533,The Rocketeer,positive,positive
2534,Horrifying film that still gives me nightmares....,positive,positive
2535,Please release a David Lee Roth-era Van Halen DVD!!!,negative,positive
2536,Three Stars,negative,positive
2537,Five Stars,positive,positive
2538,Five Stars,positive,positive
2539,One of Hollywood's Hidden Treasures!,positive,positive
2540,I thought the Bruce Lee knock-off was fun.,negative,unknown
2541,Patrick Swayze at his best as a villain,positive,positive
2542,First rate cast wasted on a ridiculous plot.,negative,positive
2543,Five Stars,positive,positive
2544,Three Stars,negative,positive
2545,Kind of slow,negative,positive
2546,but glad to have it on dvd,negative,positive
2547,Knockout,negative,negative
2548,disgusting story and even worse language,negative,positive
2549,This has to be the most over-looked movie EVER,positive,positive
2550,Long and Stupid,negative,unknown
2551,This is by far one of the worst movies i have ever seen,negative,positive
2552,Okay Movie,negative,positive
2553,Awesome man!,positive,positive
2554,Sense from the Saucerman,positive,positive
2555,Five Stars,positive,positive
2556,Point Break,positive,positive
2557,A nostalgic blast into the past with The Lone Ranger and Tonto ...,positive,unknown
2558,Not much of a movie.,negative,positive
2559,Great classic!!,positive,positive
2560,Awesome action movie,positive,positive
2561,Four Stars,positive,positive
2562,A Thinking Person's Movie,positive,positive
2563,Five Stars,positive,positive
2564,EASILY LUGOSI'S WORST FILM,negative,positive
2565,"""When you think you know what is going on, you really don't!""",positive,positive
2566,No Dogs Allowed,positive,unknown
2567,"Zulu Disaster....er, Dawn",negative,positive
2568,"""Life here has become ugly...""",negative,positive
2569,Poor DVD transfer,negative,positive
2570,A Dark Film - Literally,negative,positive
2571,Awful Beyond Imagination,negative,positive
2572,You'll Never Get Rich,negative,unknown
2573,"great evenings entertainment, no joke",positive,positive
2574,Five Stars,positive,positive
2575,Excellent Movie / Poor Quality,negative,positive
2576,Three Stars,negative,positive
2577,Great for a laugh,positive,positive
2578,Great movie fun,positive,positive
2579,Four Stars,positive,positive
2580,"A ""Muther"" of a Review....",positive,unknown
2581,a tad overrated,negative,positive
2582,Five Stars,positive,positive
2583,A decent movie that is not compelling in the least.,negative,positive
2584,Goodman Plays A William Castle Type,negative,positive
2585,Worth a watch,positive,positive
2586,RIVER EXCELL  AGAIN,positive,positive
2587,a thrilling old-fashioned adventure,positive,positive
2588,Three Stars,negative,positive
2589,This movie needs no review,negative,negative
2590,"after the wait, quite a disappointment",negative,positive
2591,A stellar success at being EXACTLY what it tries to be,positive,positive
2592,"A LACKLUSTER UPSTAIRS, DOWNSTAIRS  FILM...",negative,positive
2593,Excellent way to present the future for some folks,positive,positive
2594,Tommy Davidson Halle berry awesome.,positive,positive
2595,Lupino Tries Hard,negative,positive
2596,Three Stars,negative,positive
2597,Weak as hell,negative,positive
2598,The Day the Earth Stood Still - One of the greatest sci-fi political statements movie EVER!,positive,positive
2599,Five Stars,positive,positive
2600,Some Movies Are Better Left as Books,negative,positive
2601,I definitely liked this.,positive,unknown
2602,Affair in Trinidad,positive,positive
2603,"Enjoyable Movie, but this is the UK Dub and Characters' Names Have Been Changed!",negative,positive
2604,Not as good as the first two,negative,positive
2605,Movie,negative,positive
2606,Should be one star but there were a few laughs ...,negative,positive
2607,A Terrible Comedy,negative,positive
2608,Why Dead Again is a Great Story.,positive,positive
2609,Four Stars,positive,positive
